# ra, dec
0.214805, 0.200721
0.215863, 4.454923
0.216118, -6.148793
0.216346, -1.067781
0.216806, -4.295253
0.217837, 0.264507
0.218585, -2.020103
0.218667, -2.443202
0.218716, 3.895216
0.219297, 2.266282
0.221114, -0.220686
0.221226, -0.620206
0.221561, -0.292476
0.224013, -1.147737
0.225104, 0.917527
0.226621, 1.387092
0.226850, -2.701516
0.226952, 4.271561
0.227096, -4.257494
0.227197, -2.244899
0.227261, 6.171518
0.228769, -2.891038
0.228998, 1.028722
0.229979, 0.229207
0.230245, -0.361329
0.230490, 3.257986
0.230781, 2.436367
0.230880, -1.335013
0.231024, 6.650832
0.231406, 1.303379
0.234879, -0.692740
0.237075, -1.069354
0.239594, -3.546944
0.239934, 1.116291
0.240893, -2.312562
0.242172, 3.717075
0.242623, -0.779573
0.243119, 0.424521
0.243325, 0.399272
0.243474, -5.682207
0.244210, -0.991628
0.244427, -5.568123
0.244596, 3.981125
0.244891, 0.586293
0.246218, -1.622966
0.246412, 2.145036
0.246819, -0.659588
0.247218, 7.149982
0.247293, 2.950315
0.247297, 5.248841
0.247709, 5.695970
0.248232, -2.644910
0.248287, -3.567849
0.251537, -2.210387
0.252137, 7.618408
0.252146, 5.534146
0.252795, -0.332222
0.253218, -6.557054
0.254293, 5.392776
0.256138, 1.472244
0.257413, 0.716722
0.257722, 8.010850
0.258242, -2.265479
0.258713, 5.919764
0.259241, 0.012148
0.259576, 5.094735
0.260518, 2.410078
0.260867, 0.958595
0.261452, 2.584228
0.261455, 1.494973
0.261595, 2.854671
0.261663, -0.651164
0.263061, -1.075082
0.264645, -1.233322
0.265198, -1.256240
0.265813, 4.567184
0.266400, -5.956497
0.266531, -3.977139
0.267222, 1.094919
0.267748, -0.253481
0.268606, 2.730383
0.268923, 0.464962
0.269150, -0.180907
0.270876, 1.555926
0.271547, 8.318741
0.274486, 0.894933
0.275329, 8.551533
0.276463, -0.574255
0.276943, -3.553084
0.277011, 0.653925
0.277021, 1.183609
0.277479, 2.944133
0.278661, 2.646110
0.278882, -1.913149
0.279675, 3.451372
0.280461, 4.076902
0.281378, 0.686986
0.282606, -0.437484
0.283084, 6.778813
0.283107, -2.539745
0.286331, 4.854055
0.287136, -0.673178
0.287497, 4.493298
0.288038, -0.689362
0.288196, -0.209508
0.288936, 1.444590
0.290646, -4.422842
0.290656, 5.651717
0.290922, 4.151685
0.291297, 4.906949
0.291401, 5.560975
0.291533, -3.638336
0.292338, 4.919787
0.293026, -4.943520
0.293766, -0.110149
0.293946, -1.021691
0.294968, 7.612070
0.295533, 0.138944
0.296200, -5.213263
0.296478, -5.774719
0.296519, 1.237191
0.296660, -0.336517
0.296682, -2.406866
0.296910, -0.363830
0.297228, -4.217854
0.297310, 6.667911
0.297779, -4.047192
0.298488, 3.518274
0.298795, 2.840728
0.298840, 2.467163
0.299565, -2.668344
0.301864, -0.008145
0.302571, 4.516401
0.302628, -4.097951
0.302858, 7.738866
0.303451, -4.534849
0.305344, 6.225376
0.306355, 6.436817
0.311509, -1.450811
0.313186, 2.858415
0.313393, -2.568315
0.314053, 6.622728
0.314215, -0.431975
0.315356, 2.307969
0.316207, 5.317245
0.316956, 0.307067
0.317138, -2.177228
0.317589, 5.938406
0.318829, -3.180623
0.319241, -2.399969
0.319635, -0.872521
0.321957, -0.111271
0.323027, 0.508657
0.323233, -4.598839
0.323552, 1.574304
0.325562, -0.854099
0.326677, -1.039390
0.326785, 4.146244
0.327850, 0.731114
0.327906, 0.553978
0.328270, 1.965947
